Feature,Coefficient,Absolute Coefficient
Hyperlipidemia,1.597390034351605,1.597390034351605
Gender,-1.279713486138241,1.279713486138241
Diabetes Mellitus (DM),1.2396424143265996,1.2396424143265996
Coronary Artery Disease (CAD),-1.1378168734859626,1.1378168734859626
Vitamin D,-0.8195350124677105,0.8195350124677105
Aspartat Aminotransferaz (AST),-0.7938385919948882,0.7938385919948882
Visceral Fat Rating (VFR),-0.6752401142505334,0.6752401142505334
Visceral Fat Area (VFA),0.5207824408484472,0.5207824408484472
Comorbidity,-0.4263003869018598,0.4263003869018598
Alanin Aminotransferaz (ALT),0.3972622144720568,0.3972622144720568
Lean Mass (LM) (%),-0.3874626116141812,0.3874626116141812
Low Density Lipoprotein (LDL),-0.3362852797617012,0.3362852797617012
High Density Lipoprotein (HDL),0.29615701085281454,0.29615701085281454
Total Body Water (TBW),-0.2788033188519601,0.2788033188519601
Age,0.25238261784955707,0.25238261784955707
Muscle Mass (MM),-0.24636600080803536,0.24636600080803536
Total Cholesterol (TC),0.21823062019145908,0.21823062019145908
Body Mass Index (BMI),0.16964655317387062,0.16964655317387062
Glucose,-0.13575188183920278,0.13575188183920278
Body Protein Content (Protein) (%),0.11870586896706416,0.11870586896706416
Triglyceride,-0.056132554812953886,0.056132554812953886
Total Body Fat Ratio (TBFR) (%),0.03431116552821221,0.03431116552821221
Alkaline Phosphatase (ALP),0.010275471804705208,0.010275471804705208
